source_csv,query_id,question,building,approach,model_name,skipped,score_error,original_f1,original_row_coverage,original_excess_rows,num_bgp_culprits,num_filter_culprits,culprit_triples,culprit_depths,best_found_at_depth,best_relaxed_f1,best_relaxed_row_coverage,best_relaxed_excess_rows,delta_f1,best_relaxed_triples,best_relaxed_path_texts,best_relaxed_query,diagnose_error,elapsed_sec
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"Identify each entity that is an AHU, and either has a directly associated property or is indirectly connected to a property via a connectable.",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,,,0.126
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"For each Air Handling Unit (AHU) whose label includes 'RTU', what are the related non-writable property labels and ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,?ahu <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <https://brickschema.org/schema/Brick#AHU>,1,,,,,,,,,,0.123
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,List the labels of all non-writable properties for zones and show the corresponding alc endpoint and mpc database endpoint for each.,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,?propertyClass <http://www.w3.org/2000/01/rdf-schema#subClassOf> <https://brickschema.org/schema/Brick#Point>,1,,,,,,,,,,0.143
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"For each air handling unit whose label contains rtu, identify any connectable element it contains that observes or has property a property, or any property it has directly, and for each property give its label along with the ALC endpoint and the MPC database name from its external reference",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,,,0.269
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,What alc and mpc endpoints are defined for the read-only properties of each zone?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,1,?property <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property> && ?property <http://www.w3.org/2000/01/rdf-schema#domain> ?domain,2,,,,,,,,,,0.242
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"For each zone (target), what are the related non-writable property labels and ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,2,0,?zoneRelatedShape <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/ns/shacl#NodeShape> && ?zoneRelatedShape <http://www.w3.org/ns/shacl#targetClass> <http://data.ashrae.org/standard223#Zone> | ?zoneRelatedShape <http://www.w3.org/ns/shacl#targetClass> <http://data.ashrae.org/standard223#Zone> && ?zoneRelatedShape <http://www.w3.org/ns/shacl#property> ?propertyNode,2 | 2,,,,,,,,,,0.149
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,How can I find the alc and mpc endpoints for zone properties that aren't editable?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,?property <http://www.w3.org/2000/01/rdf-schema#domain> ?superClassDomain,1,,,,,,,,,,0.112
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"For each Zone that either has a Property directly or has a RoomDomainSpace reached by two connected steps and a contains relationship leading to a Property, what is the label of that Property and what are the external reference alc endpoint and mpc endpoint when writable is False?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,<https://brickschema.org/schema/Brick#Zone> <http://www.w3.org/2000/01/rdf-schema#label> ?zoneLabel && ?propertyClass <http://www.w3.org/2000/01/rdf-schema#subClassOf> <https://brickschema.org/schema/Brick#Setpoint>,2,,,,,,,,,,0.112
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"Which properties associated with building zones (including those linked through room domain spaces and chained connections) are read-only, and what are their labels together with the alc and mpc endpoints in their external references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,2,2,?property <http://www.w3.org/2000/01/rdf-schema#domain> ?domainClass | ?property <http://www.w3.org/2000/01/rdf-schema#label> ?label,1 | 1,,,,,,,,,,0.392
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,"For each water-to-water heat pump, what property does it contain, what is the label of that property, which quantity does it observe, and what are the ALC endpoint and MPC database name of its non-writable external reference?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,?heatPump <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <https://brickschema.org/schema/Brick#Water_to_Water_Heat_Pump> && ?property <http://www.w3.org/ns/sosa#observes> ?quantityKind,2,,,,,,,,,,0.153
